Mode1-Mode2,Cost,Alignment
scanpy.louvain_K9M2-scanpy.louvain_K9M1,0.19105382487520858,1 2 3 4 5 6 7 8 9
seurat.louvain_K9M1-scanpy.louvain_K9M2,0.2228961290210768,9 1 3 4 5 6 7 2 8
seurat.louvain_K9M2-scanpy.louvain_K9M2,0.2210007537742988,8 1 3 4 5 6 7 2 9
scanpy.louvain_K9M1-scanpy.louvain_K9M2,0.19105382487520858,1 2 3 4 5 6 7 8 9
scanpy.louvain_K9M2-scanpy.louvain_K9M2,0.0,1 2 3 4 5 6 7 8 9
scanpy.tutorial_scanpy.tutorial-scanpy.tutorial_scanpy.tutorial,0.0,1 2 3 4 5 6 7 8
scanpy.louvain_K8M1-scanpy.tutorial_scanpy.tutorial,0.2702805129473844,2 4 6 7 5 3 1 8
scanpy.tutorial_scanpy.tutorial-scanpy.louvain_K8M1,0.2702805129473844,7 1 6 2 5 3 4 8
scanpy.louvain_K8M1-scanpy.louvain_K8M1,0.0,1 2 3 4 5 6 7 8
seurat.leiden_K7M1-seurat.leiden_K7M1,0.0,1 2 3 4 5 6 7
seurat.leiden_K7M2-seurat.leiden_K7M1,0.04662623127589079,1 2 3 4 5 6 7
scanpy.louvain_K7M1-seurat.leiden_K7M1,0.07657316030674748,2 1 3 4 5 6 7
scanpy.louvain_K7M2-seurat.leiden_K7M1,0.06065200816376037,2 1 3 4 5 6 7
seurat.leiden_K7M1-seurat.leiden_K7M2,0.04662623127589079,1 2 3 4 5 6 7
seurat.leiden_K7M2-seurat.leiden_K7M2,0.0,1 2 3 4 5 6 7
scanpy.louvain_K7M1-seurat.leiden_K7M2,0.1159969656131917,2 1 3 4 5 6 7
scanpy.louvain_K7M2-seurat.leiden_K7M2,0.09325246255178155,2 1 3 4 5 6 7
seurat.leiden_K7M1-scanpy.louvain_K7M1,0.07657316030674748,2 1 3 4 5 6 7
seurat.leiden_K7M2-scanpy.louvain_K7M1,0.1159969656131917,2 1 3 4 5 6 7
scanpy.louvain_K7M1-scanpy.louvain_K7M1,0.0,1 2 3 4 5 6 7
scanpy.louvain_K7M2-scanpy.louvain_K7M1,0.05534495744943136,1 2 3 4 5 6 7
seurat.leiden_K7M1-scanpy.louvain_K7M2,0.06065200816376037,2 1 3 4 5 6 7
seurat.leiden_K7M2-scanpy.louvain_K7M2,0.09325246255178157,2 1 3 4 5 6 7
scanpy.louvain_K7M1-scanpy.louvain_K7M2,0.05534495744943136,1 2 3 4 5 6 7
scanpy.louvain_K7M2-scanpy.louvain_K7M2,0.0,1 2 3 4 5 6 7
